Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
1,Drunk Elephant,Blush,Weekly,67.85,1.4,686,30ml,Sensitive,Female,Tube,Retinol,FALSE,Australia
2,Laura Mercier,Makeup Remover,Occasional,116.43,4.2,5483,250ml,Dry,Unisex,Bottle,Shea Butter,FALSE,UK
3,Natasha Denona,Highlighter,Daily,90.84,1.6,5039,100ml,Sensitive,Male,Compact,Aloe Vera,TRUE,Italy
4,Ilia Beauty,Face Mask,Occasional,55.17,3.2,6202,250ml,Normal,Male,Tube,Glycerin,TRUE,South Korea
5,Charlotte Tilbury,Highlighter,Occasional,140.56,1.7,297,100ml,Oily,Female,Compact,Glycerin,FALSE,Germany
6,Danessa Myricks,Foundation,Weekly,135.82,3.2,9405,150ml,Sensitive,Female,Compact,Glycerin,TRUE,UK
7,Bourjois,Powder,Monthly,148.99,2.5,2423,250ml,Normal,Female,Jar,Hyaluronic Acid,TRUE,Germany
8,Bourjois,Lip Gloss,Daily,21.43,4.3,8032,200ml,Sensitive,Male,Bottle,Vitamin C,TRUE,Italy
9,IT Cosmetics,CC Cream,Occasional,113.09,3.3,2468,200ml,Combination,Unisex,Compact,Vitamin C,TRUE,Germany
10,Fenty Beauty,Face Mask,Weekly,133.57,4.4,4127,150ml,Dry,Female,Compact,Hyaluronic Acid,FALSE,Japan
11,Sisley,Powder,Weekly,104.91,4.0,8876,100ml,Combination,Female,Bottle,Retinol,TRUE,UK
12,Juvia’s Place,Eye Shadow,Daily,101.88,4.7,7196,50ml,Oily,Male,Bottle,Retinol,FALSE,Italy
13,NARS,Concealer,Occasional,34.2,1.9,4799,150ml,Oily,Unisex,Bottle,Vitamin C,FALSE,Australia
14,ColourPop,Eyeliner,Occasional,96.0,2.2,3557,150ml,Normal,Male,Spray,Salicylic Acid,TRUE,Germany
15,Huda Beauty,Lipstick,Monthly,26.21,4.9,4167,200ml,Sensitive,Unisex,Bottle,Shea Butter,TRUE,USA
16,Tatcha,Setting Spray,Daily,104.06,3.2,2802,250ml,Dry,Unisex,Compact,Shea Butter,FALSE,UK
17,Kiehl’s,Cleanser,Occasional,131.95,4.0,4860,150ml,Combination,Female,Stick,Salicylic Acid,FALSE,USA
18,Huda Beauty,Bronzer,Monthly,90.45,1.5,9690,150ml,Sensitive,Unisex,Tube,Salicylic Acid,TRUE,South Korea
19,Tarte,Primer,Weekly,65.13,2.9,2612,250ml,Sensitive,Male,Bottle,Hyaluronic Acid,FALSE,Australia
20,Glossier,Face Oil,Occasional,55.14,3.8,9593,150ml,Sensitive,Male,Stick,Salicylic Acid,FALSE,France
21,Make Up For Ever,Contour,Monthly,35.33,3.4,4230,150ml,Normal,Unisex,Jar,Salicylic Acid,FALSE,South Korea
22,Anastasia Beverly Hills,Mascara,Daily,145.37,2.3,6045,50ml,Combination,Male,Jar,Retinol,TRUE,France
23,Fenty Beauty,Face Mask,Monthly,119.26,4.6,9425,100ml,Sensitive,Male,Compact,Hyaluronic Acid,FALSE,Japan
24,E.l.f.,Makeup Remover,Occasional,148.69,3.7,59,150ml,Combination,Unisex,Jar,Retinol,TRUE,Australia
25,Hourglass,Foundation,Weekly,96.3,3.2,7512,250ml,Normal,Male,Jar,Shea Butter,TRUE,Australia
26,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,150ml,Dry,Female,Spray,Glycerin,FALSE,Japan
27,Laura Mercier,Contour,Occasional,34.06,3.0,4490,50ml,Oily,Unisex,Stick,Vitamin C,FALSE,Japan
28,Too Faced,Bronzer,Monthly,62.56,2.3,3254,30ml,Combination,Female,Bottle,Retinol,FALSE,France
29,Perricone MD,Lip Gloss,Daily,120.23,1.6,3813,50ml,Oily,Male,Compact,Vitamin C,FALSE,Germany
30,RMS Beauty,Eyeliner,Monthly,62.98,3.3,1926,200ml,Dry,Female,Spray,Glycerin,TRUE,UK
31,Sisley,Powder,Weekly,74.95,1.9,1270,250ml,Dry,Unisex,Stick,Salicylic Acid,TRUE,France
32,Juvia’s Place,Highlighter,Occasional,46.66,4.6,5398,200ml,Sensitive,Male,Spray,Glycerin,FALSE,Italy
33,ColourPop,Powder,Monthly,27.45,1.2,9692,50ml,Oily,Female,Bottle,Glycerin,TRUE,Australia
34,Urban Decay,Eye Shadow,Daily,134.54,1.0,4973,100ml,Dry,Female,Spray,Hyaluronic Acid,FALSE,France
35,Rare Beauty,Highlighter,Weekly,111.7,1.7,9892,150ml,Combination,Unisex,Compact,Retinol,TRUE,USA
36,Fenty Beauty,Makeup Remover,Monthly,148.76,2.3,4487,30ml,Sensitive,Unisex,Spray,Vitamin C,FALSE,USA
37,Fenty Beauty,Eye Shadow,Occasional,74.51,4.6,4884,30ml,Oily,Male,Stick,Glycerin,FALSE,South Korea
38,Becca,Cleanser,Monthly,63.79,2.0,7155,30ml,Dry,Female,Jar,Vitamin C,TRUE,France
39,Patrick Ta,Bronzer,Daily,135.46,4.0,5148,250ml,Dry,Female,Bottle,Shea Butter,FALSE,USA
40,Shiseido,Powder,Weekly,74.45,4.0,69,30ml,Oily,Female,Spray,Shea Butter,FALSE,Australia
41,Rare Beauty,Concealer,Monthly,25.46,2.8,6843,150ml,Dry,Male,Compact,Hyaluronic Acid,FALSE,South Korea
42,Kylie Cosmetics,Mascara,Occasional,58.41,1.4,4149,200ml,Oily,Unisex,Jar,Salicylic Acid,FALSE,UK
43,RMS Beauty,Blush,Weekly,142.53,2.5,734,100ml,Oily,Unisex,Compact,Glycerin,FALSE,France
44,Pat McGrath Labs,Serum,Occasional,99.2,3.1,4405,30ml,Oily,Male,Tube,Aloe Vera,TRUE,Japan
45,Fenty Beauty,Mascara,Occasional,132.98,1.4,7747,30ml,Dry,Unisex,Jar,Glycerin,TRUE,South Korea
46,Bite Beauty,Face Oil,Weekly,72.88,1.1,3358,30ml,Sensitive,Female,Compact,Shea Butter,FALSE,Australia
47,Hourglass,Contour,Daily,79.42,4.7,3975,100ml,Dry,Female,Bottle,Shea Butter,FALSE,France
48,Drunk Elephant,Cleanser,Daily,70.15,3.0,786,200ml,Dry,Unisex,Tube,Shea Butter,TRUE,Japan
49,Urban Decay,Contour,Weekly,111.62,4.9,2705,50ml,Normal,Male,Compact,Retinol,FALSE,South Korea
50,Laura Mercier,BB Cream,Monthly,45.83,2.1,6947,50ml,Oily,Female,Jar,Salicylic Acid,FALSE,Japan
51,Hourglass,Exfoliator,Occasional,19.74,1.3,5980,150ml,Normal,Unisex,Spray,Salicylic Acid,FALSE,South Korea
52,Laura Mercier,Eyeliner,Weekly,112.67,3.3,1492,200ml,Dry,Unisex,Spray,Aloe Vera,TRUE,Germany
53,Tarte,Exfoliator,Occasional,148.7,3.5,5380,100ml,Normal,Unisex,Stick,Retinol,FALSE,Australia
54,Anastasia Beverly Hills,Concealer,Occasional,49.32,2.5,3274,250ml,Dry,Female,Bottle,Salicylic Acid,TRUE,Australia
55,Laura Mercier,CC Cream,Weekly,42.84,1.1,4441,50ml,Sensitive,Male,Jar,Vitamin C,TRUE,South Korea
56,E.l.f.,Concealer,Occasional,133.56,1.3,7450,200ml,Normal,Male,Spray,Glycerin,FALSE,Australia
57,Becca,Face Mask,Occasional,49.67,1.9,8956,30ml,Oily,Female,Jar,Hyaluronic Acid,FALSE,Germany
