Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,ID
Perfect Bronzer,Sisley,Bronzer,Occasional,117.29,3.3,4485,250ml,Oily,Male,Jar,Vitamin C,TRUE,Japan,1
Ultra Serum,Charlotte Tilbury,Serum,Weekly,108.68,4.0,3872,250ml,Sensitive,Unisex,Bottle,Shea Butter,TRUE,Japan,2
Ultra Powder,Hourglass,Powder,Weekly,46.47,4.9,651,250ml,Oily,Male,Compact,Glycerin,FALSE,UK,3
Super Lip Gloss,Anastasia Beverly Hills,Lip Gloss,Daily,22.29,4.1,4401,200ml,Combination,Unisex,Bottle,Salicylic Acid,FALSE,UK,4
Magic Contour,Juvia’s Place,Contour,Weekly,141.09,4.2,4926,150ml,Normal,Unisex,Jar,Vitamin C,TRUE,Italy,5
Ultra Lip Liner,Bobby Brown,Lip Liner,Daily,24.95,3.8,3288,150ml,Sensitive,Male,Spray,Hyaluronic Acid,TRUE,UK,6
Perfect Blush,Ilia Beauty,Blush,Weekly,48.52,3.5,2080,250ml,Combination,Female,Bottle,Shea Butter,FALSE,Germany,7
Ultra Mascara,Ilia Beauty,Mascara,Occasional,106.16,4.9,7349,150ml,Oily,Male,Tube,Aloe Vera,TRUE,Australia,8
Ultra Bronzer,KVD Beauty,Bronzer,Daily,105.36,4.0,7845,100ml,Dry,Unisex,Stick,Vitamin C,FALSE,USA,9
Divine Cleanser,Make Up For Ever,Cleanser,Occasional,78.83,5.0,7681,200ml,Combination,Female,Spray,Retinol,TRUE,Germany,10
Ultra Eye Shadow,Becca,Eye Shadow,Monthly,25.15,2.5,5073,100ml,Normal,Unisex,Jar,Salicylic Acid,TRUE,South Korea,11
Super CC Cream,NARS,CC Cream,Weekly,120.9,4.0,6190,250ml,Dry,Unisex,Tube,Aloe Vera,TRUE,Germany,12
Divine Bronzer,Urban Decay,Bronzer,Daily,109.44,2.0,1120,150ml,Dry,Unisex,Stick,Retinol,FALSE,Japan,13
Magic Lip Liner,Glossier,Lip Liner,Occasional,14.16,4.9,1354,30ml,Sensitive,Male,Tube,Shea Butter,FALSE,Italy,14
Ultra Face Mask,Milk Makeup,Face Mask,Weekly,26.37,3.7,7229,30ml,Dry,Unisex,Bottle,Shea Butter,FALSE,UK,15
Magic Bronzer,Hourglass,Bronzer,Occasional,80.12,4.7,828,100ml,Normal,Female,Stick,Aloe Vera,TRUE,USA,16
Divine Serum,Laura Mercier,Serum,Daily,79.09,4.7,5854,200ml,Sensitive,Male,Spray,Salicylic Acid,FALSE,Australia,17
Super Setting Spray,RMS Beauty,Setting Spray,Monthly,39.29,3.9,9788,150ml,Combination,Unisex,Jar,Vitamin C,TRUE,USA,18
Magic Exfoliator,Laura Mercier,Exfoliator,Occasional,149.37,4.5,4656,150ml,Oily,Male,Stick,Glycerin,FALSE,South Korea,19
Magic Foundation,Too Faced,Foundation,Monthly,108.24,2.0,6589,200ml,Oily,Female,Stick,Aloe Vera,TRUE,UK,20
Super CC Cream,Anastasia Beverly Hills,CC Cream,Occasional,23.88,2.0,6356,200ml,Sensitive,Unisex,Tube,Vitamin C,TRUE,Italy,21
Perfect Powder,Bobby Brown,Powder,Daily,86.64,4.0,8234,200ml,Combination,Male,Tube,Retinol,TRUE,Japan,22
Super Primer,Milk Makeup,Primer,Occasional,44.72,4.7,9284,200ml,Normal,Female,Jar,Retinol,TRUE,Australia,23
Super Makeup Remover,Natasha Denona,Makeup Remover,Daily,85.57,4.6,876,250ml,Dry,Unisex,Bottle,Aloe Vera,TRUE,South Korea,24
Ultra Cleanser,Urban Decay,Cleanser,Monthly,71.94,3.0,8001,50ml,Dry,Male,Bottle,Glycerin,TRUE,Japan,25
Ultra Face Oil,Rare Beauty,Face Oil,Monthly,136.43,4.1,1332,30ml,Normal,Female,Compact,Retinol,TRUE,South Korea,26
Super Concealer,Ilia Beauty,Concealer,Weekly,132.27,1.5,9093,100ml,Combination,Female,Bottle,Shea Butter,FALSE,South Korea,27
Ultra BB Cream,Make Up For Ever,BB Cream,Monthly,87.54,1.4,9422,100ml,Oily,Unisex,Tube,Salicylic Acid,TRUE,South Korea,28
Super Primer,Tatcha,Primer,Monthly,103.76,4.5,5648,150ml,Combination,Unisex,Spray,Salicylic Acid,FALSE,Germany,29
Super Bronzer,Shiseido,Bronzer,Daily,49.21,4.4,6904,200ml,Dry,Female,Bottle,Shea Butter,TRUE,France,30
Super Lipstick,Natasha Denona,Lipstick,Daily,106.05,4.1,4254,250ml,Oily,Female,Bottle,Retinol,TRUE,UK,31
Divine Cleanser,Farsali,Cleanser,Weekly,86.55,4.6,6699,50ml,Sensitive,Unisex,Bottle,Aloe Vera,FALSE,Australia,32
Perfect Lip Liner,Tatcha,Lip Liner,Weekly,80.73,3.9,8109,100ml,Normal,Female,Stick,Salicylic Acid,TRUE,Germany,33
Divine Foundation,Clinique,Foundation,Daily,58.5,2.8,9261,150ml,Dry,Unisex,Jar,Hyaluronic Acid,FALSE,Germany,34
Perfect Lip Gloss,KVD Beauty,Lip Gloss,Weekly,124.39,3.9,5878,50ml,Sensitive,Female,Stick,Salicylic Acid,FALSE,UK,35
Perfect Eye Shadow,E.l.f.,Eye Shadow,Daily,85.36,1.0,145,100ml,Normal,Female,Stick,Glycerin,FALSE,Italy,36
Magic Face Mask,Yves Saint Laurent,Face Mask,Monthly,48.19,2.0,4172,100ml,Dry,Male,Spray,Glycerin,TRUE,USA,37
Perfect CC Cream,Too Faced,CC Cream,Daily,56.69,4.1,3706,150ml,Sensitive,Female,Bottle,Shea Butter,TRUE,Australia,38
Super Serum,Fenty Beauty,Serum,Daily,73.73,2.0,6420,200ml,Oily,Unisex,Spray,Glycerin,FALSE,USA,39
Perfect Concealer,RMS Beauty,Concealer,Daily,144.17,1.0,6233,200ml,Oily,Female,Jar,Shea Butter,TRUE,Italy,40
Super Lipstick,Laura Mercier,Lipstick,Monthly,24.01,4.3,577,250ml,Oily,Male,Tube,Glycerin,TRUE,Japan,41
Ultra Bronzer,E.l.f.,Bronzer,Occasional,40.43,3.6,8791,50ml,Sensitive,Female,Bottle,Salicylic Acid,TRUE,Germany,42
