Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,ID
Ultra Lip Gloss,RMS Beauty,Lipstick,Daily,139.83,5.0,3681,100ml,Sensitive,Female,Jar,Retinol,TRUE,Germany,1
Ultra Lip Gloss,Perricone MD,Lipstick,Weekly,107.54,5.0,9915,150ml,Dry,Unisex,Spray,Salicylic Acid,TRUE,France,2
Perfect Powder,IT Cosmetics,Lipstick,Occasional,139.28,5.0,6896,150ml,Sensitive,Female,Jar,Salicylic Acid,FALSE,USA,3
Ultra Foundation,Morphe,Lipstick,Occasional,101.98,5.0,8852,100ml,Combination,Unisex,Jar,Hyaluronic Acid,TRUE,UK,4
Ultra Eyeliner,Rare Beauty,Lipstick,Daily,32.34,5.0,4224,200ml,Normal,Unisex,Bottle,Vitamin C,TRUE,USA,5
Magic Setting Spray,Clinique,Lipstick,Monthly,12.42,5.0,280,200ml,Dry,Unisex,Stick,Aloe Vera,TRUE,France,6
Divine Bronzer,Farsali,Foundation,Occasional,103.0,5.0,9904,30ml,Dry,Unisex,Stick,Vitamin C,TRUE,Australia,7
Super Lip Liner,Bobby Brown,Lipstick,Weekly,22.02,5.0,7042,150ml,Dry,Unisex,Tube,Retinol,TRUE,Germany,8
Perfect Contour,Milk Makeup,Lipstick,Weekly,29.15,5.0,7104,200ml,Dry,Male,Bottle,Glycerin,TRUE,Australia,9
Ultra Bronzer,Ilia Beauty,Serum,Monthly,28.05,5.0,4094,100ml,Combination,Male,Tube,Hyaluronic Acid,TRUE,South Korea,10
Divine Face Oil,Tarte,Mascara,Monthly,142.37,5.0,6978,50ml,Oily,Female,Spray,Shea Butter,FALSE,Australia,11
Perfect Lip Liner,RMS Beauty,Lip Gloss,Daily,81.91,5.0,1194,200ml,Dry,Female,Bottle,Hyaluronic Acid,TRUE,France,12
Magic Moisturizer,Patrick Ta,Mascara,Daily,63.81,5.0,4037,150ml,Combination,Male,Bottle,Retinol,TRUE,Australia,13
Ultra Mascara,Clinique,Exfoliator,Monthly,130.76,5.0,8542,100ml,Sensitive,Female,Jar,Retinol,TRUE,UK,14
Divine Contour,Patrick Ta,Lip Gloss,Occasional,87.28,5.0,3789,100ml,Combination,Male,Spray,Retinol,TRUE,USA,15
Divine Cleanser,Natasha Denona,Foundation,Daily,75.44,5.0,4798,250ml,Combination,Male,Stick,Aloe Vera,TRUE,USA,16
Magic Face Oil,Too Faced,Exfoliator,Daily,12.12,5.0,3329,50ml,Dry,Unisex,Stick,Vitamin C,TRUE,USA,17
Ultra Mascara,Bite Beauty,CC Cream,Occasional,66.31,5.0,4838,50ml,Combination,Unisex,Spray,Shea Butter,TRUE,France,18
Super CC Cream,Milk Makeup,Foundation,Weekly,75.58,5.0,5600,200ml,Normal,Female,Bottle,Vitamin C,TRUE,Australia,19
Divine Primer,Bobby Brown,Bronzer,Monthly,107.3,5.0,2637,100ml,Sensitive,Unisex,Tube,Aloe Vera,TRUE,UK,20
Perfect Eye Shadow,Bourjois,Moisturizer,Weekly,118.88,5.0,4867,30ml,Dry,Female,Spray,Aloe Vera,TRUE,France,21
Ultra Lip Liner,Farsali,Serum,Daily,11.79,5.0,273,50ml,Combination,Female,Jar,Glycerin,TRUE,South Korea,22
Perfect Setting Spray,Kylie Cosmetics,Highlighter,Occasional,126.82,5.0,4247,250ml,Normal,Female,Stick,Retinol,FALSE,France,23
Magic Eyeliner,Morphe,Primer,Weekly,136.78,5.0,7174,100ml,Oily,Unisex,Bottle,Salicylic Acid,TRUE,Australia,24
Ultra Contour,Bobby Brown,Blush,Occasional,43.3,5.0,239,200ml,Oily,Unisex,Compact,Shea Butter,TRUE,South Korea,25
Ultra BB Cream,Sisley,Highlighter,Weekly,99.33,5.0,349,250ml,Dry,Unisex,Spray,Salicylic Acid,FALSE,USA,26
Divine Serum,Juvia’s Place,Contour,Monthly,36.57,5.0,1659,200ml,Normal,Unisex,Stick,Glycerin,TRUE,Japan,27
Super Eye Shadow,KVD Beauty,Lip Gloss,Monthly,23.01,5.0,2583,30ml,Combination,Female,Compact,Hyaluronic Acid,TRUE,France,28
Super Bronzer,Tarte,Moisturizer,Daily,124.51,5.0,1773,30ml,Dry,Male,Jar,Aloe Vera,TRUE,Germany,29
Super Lip Liner,Tatcha,Face Oil,Daily,102.4,5.0,8825,150ml,Sensitive,Female,Jar,Glycerin,FALSE,Japan,30
Perfect Primer,Drunk Elephant,Lip Gloss,Daily,65.88,5.0,3656,250ml,Dry,Unisex,Tube,Vitamin C,TRUE,Japan,31
Super CC Cream,Huda Beauty,Powder,Daily,115.6,5.0,2802,50ml,Normal,Unisex,Stick,Vitamin C,TRUE,France,32
Divine Powder,RMS Beauty,Blush,Monthly,116.11,5.0,3869,200ml,Combination,Female,Bottle,Shea Butter,TRUE,Japan,33
Divine Mascara,Patrick Ta,Face Mask,Weekly,32.63,5.0,4492,50ml,Dry,Male,Bottle,Aloe Vera,TRUE,Italy,34
Perfect Primer,Clinique,Face Mask,Monthly,76.2,5.0,4606,200ml,Combination,Unisex,Compact,Aloe Vera,TRUE,Germany,35
