ID,Product_Name,Brand,Category,Price_USD,Rating,Number_of_Reviews,Brand_encoded,Category_encoded,Price_USD_scaled,Rating_scaled
1,Ultra Lip Gloss,RMS Beauty,Lipstick,139.83,5.0,3681,31,16,1.477561232202981,1.710351434933986
2,Ultra Lip Gloss,Perricone MD,Lipstick,107.54,5.0,9915,30,16,0.6783361835541684,1.710351434933986
3,Perfect Powder,IT Cosmetics,Lipstick,139.28,5.0,6896,16,16,1.463947922300322,1.710351434933986
4,Ultra Foundation,Morphe,Lipstick,101.98,5.0,8852,25,16,0.5407179961745647,1.710351434933986
5,Ultra Eyeliner,Rare Beauty,Lipstick,32.34,5.0,4224,32,16,-1.1829745522275195,1.710351434933986
6,Magic Setting Spray,Clinique,Lipstick,12.42,5.0,280,6,16,-1.6760238854292644,1.710351434933986
7,Divine Bronzer,Farsali,Foundation,103.0,5.0,9904,11,12,0.5659644981758588,1.710351434933986
8,Super Lip Liner,Bobby Brown,Lipstick,22.02,5.0,7042,3,16,-1.438409748946496,1.710351434933986
9,Perfect Contour,Milk Makeup,Lipstick,29.15,5.0,7104,24,16,-1.2619317496629396,1.710351434933986
10,Ultra Bronzer,Ilia Beauty,Serum,28.05,5.0,4094,17,22,-1.289158369468257,1.710351434933986
11,Divine Face Oil,Tarte,Mascara,142.37,5.0,6978,35,18,1.5404299724807133,1.710351434933986
12,Perfect Lip Liner,RMS Beauty,Lip Gloss,81.91,5.0,1194,31,14,0.04395594209027639,1.710351434933986
13,Magic Moisturizer,Patrick Ta,Mascara,63.81,5.0,4037,29,18,-0.4040457110699435,1.710351434933986
14,Ultra Mascara,Clinique,Exfoliator,130.76,5.0,8542,6,7,1.2530653761718646,1.710351434933986
15,Divine Contour,Patrick Ta,Lip Gloss,87.28,5.0,3789,29,14,0.17687134968532522,1.710351434933986
16,Divine Cleanser,Natasha Denona,Foundation,75.44,5.0,4798,27,12,-0.11618608531008953,1.710351434933986
17,Magic Face Oil,Too Faced,Exfoliator,12.12,5.0,3329,37,7,-1.683449327194351,1.710351434933986
18,Ultra Mascara,Bite Beauty,CC Cream,66.31,5.0,4838,2,3,-0.3421670296942225,1.710351434933986
19,Super CC Cream,Milk Makeup,Foundation,75.58,5.0,5600,24,12,-0.11272087915304914,1.710351434933986
20,Divine Primer,Bobby Brown,Bronzer,107.3,5.0,2637,3,2,0.6723958301420989,1.710351434933986
21,Perfect Eye Shadow,Bourjois,Moisturizer,118.88,5.0,4867,4,19,0.9590178822744385,1.710351434933986
22,Ultra Lip Liner,Farsali,Serum,11.79,5.0,273,11,22,-1.691617313135946,1.710351434933986
23,Perfect Setting Spray,Kylie Cosmetics,Highlighter,126.82,5.0,4247,21,13,1.1555445743237285,1.710351434933986
24,Magic Eyeliner,Morphe,Primer,136.78,5.0,7174,25,21,1.402069240924601,1.710351434933986
25,Ultra Contour,Bobby Brown,Blush,43.3,5.0,239,3,1,-0.9116984130763587,1.710351434933986
26,Ultra BB Cream,Sisley,Highlighter,99.33,5.0,349,34,13,0.47512659391630035,1.710351434933986
27,Divine Serum,Juvia’s Place,Contour,36.57,5.0,1659,18,6,-1.0782758233397995,1.710351434933986
28,Super Eye Shadow,KVD Beauty,Lip Gloss,23.01,5.0,2583,19,14,-1.41390579112171,1.710351434933986
29,Super Bronzer,Tarte,Moisturizer,124.51,5.0,1773,35,19,1.0983686727325626,1.710351434933986
30,Super Lip Liner,Tatcha,Face Oil,102.4,5.0,8825,36,11,0.551113614645686,1.710351434933986
31,Perfect Primer,Drunk Elephant,Lip Gloss,65.88,5.0,3656,9,14,-0.3528101628908467,1.710351434933986
32,Super CC Cream,Huda Beauty,Powder,115.6,5.0,2802,15,20,0.8778330523094925,1.710351434933986
33,Divine Powder,RMS Beauty,Blush,116.11,5.0,3869,31,1,0.8904563033101398,1.710351434933986
34,Divine Mascara,Patrick Ta,Face Mask,32.63,5.0,4492,29,10,-1.175796625187936,1.710351434933986
35,Perfect Primer,Clinique,Face Mask,76.2,5.0,4606,6,10,-0.09737496617187022,1.710351434933986
36,Divine Makeup Remover,Bite Beauty,Cleanser,84.38,5.0,2984,2,4,0.10509207928948872,1.710351434933986
37,Divine BB Cream,Pat McGrath Labs,Contour,107.46,5.0,7133,28,6,0.676356065750145,1.710351434933986
38,Ultra Moisturizer,Drunk Elephant,Serum,35.33,5.0,3365,9,22,-1.1089676493021572,1.710351434933986
39,Divine Eyeliner,Huda Beauty,Highlighter,81.54,5.0,6690,15,13,0.03479789724666992,1.710351434933986
40,Divine Primer,Kylie Cosmetics,Eye Shadow,58.85,5.0,90,21,8,-0.526813014919374,1.710351434933986
41,Magic Setting Spray,Too Faced,Powder,55.23,5.0,9095,37,20,-0.6164133455514181,1.710351434933986
42,Perfect Mascara,Shiseido,BB Cream,129.72,5.0,8759,33,0,1.227323844719565,1.710351434933986
43,Ultra Lip Gloss,Natasha Denona,Makeup Remover,101.17,5.0,7925,27,17,0.5206693034088311,1.710351434933986
44,Magic Mascara,Yves Saint Laurent,Face Mask,60.4,5.0,5018,39,10,-0.48844823246642705,1.710351434933986
45,Perfect Powder,Shiseido,Setting Spray,101.22,5.0,3705,33,23,0.5219068770363454,1.710351434933986
46,Magic Cleanser,Danessa Myricks,CC Cream,59.98,5.0,6735,8,3,-0.49884385093754824,1.710351434933986
47,Magic Highlighter,Becca,Bronzer,94.06,5.0,6493,1,2,0.3446863335762806,1.710351434933986
48,Magic Foundation,Fenty Beauty,Primer,87.16,5.0,8444,12,21,0.1739011729792905,1.710351434933986
49,Perfect Powder,Bite Beauty,Serum,125.24,5.0,9292,2,22,1.1164372476942728,1.710351434933986
50,Ultra Makeup Remover,Tarte,Foundation,76.54,5.0,2167,35,12,-0.08895946550477209,1.710351434933986
